Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
120,tt0253366,2017-10-10,2017-10-10,"Naive painter and public happening artist José Pérez Ocaña was a local hero of Barcelona during Spain's transition period and a queer idol, one of the first outspoken LGBT activists. He talked a lot in this film, with much more verve than usual in other docus of that time. There's a more recent film about him but this one captures the mood of the era.","Ocana, an Intermittent Portrait","Ocaña, retrat intermitent",https://www.imdb.com/title/tt0253366/,Movie,7.1,85,1978,"Documentary",173,1978-06-01,"Ventura Pons",,
121,tt0080662,2013-08-15,2013-08-15,"coming-of-age story calling for tolerance and solidarity","You Are Not Alone","Du er ikke alene",https://www.imdb.com/title/tt0080662/,Movie,7.1,90,1978,"Drama, Romance",4377,1978-02-23,"Ernst Johansen, Lasse Nielsen",,
122,tt0078794,2017-10-07,2017-10-07,"von Praunheim's docu on the emergence of the US Pride movement before AIDS, not as known as it deserves to be.","Army of Lovers or Revolt of the Perverts","Armee der Liebenden oder Revolte der Perversen",https://www.imdb.com/title/tt0078794/,Movie,6.6,107,1979,"Documentary",57,1979-05-04,"Rosa von Praunheim",,
123,tt0079107,2017-10-11,2017-10-11,"It's a coming-of-age drama and not really gay-themed, as the lead turns tricks for money but is presented as straight. His clients are bystanders and have no background. It's interesting for showing the rent boy scene in a non-judgmental way, but that also makes it rather flat.","Das Ende des Regenbogens","Das Ende des Regenbogens",https://www.imdb.com/title/tt0079107/,Movie,6.8,107,1979,"Drama",124,1979-09-21,"Uwe Frießner",,
124,tt0079111,2013-10-22,2013-10-30,"adaptation of a posthumously published novel by Umberto Saba, quite explicit yet quite glossy","Ernesto","Ernesto",https://www.imdb.com/title/tt0079111/,Movie,6.9,94,1979,"Drama, Romance",616,1979-01-12,"Salvatore Samperi",,
125,tt0219992,2016-10-27,2016-10-27,"an ideological docu re-enacting (in large part) photographer Wilhelm von Gloeden's settings accompanied by a fake Sicilian narrator. Since those picture are borderline pedo, it's an unfortunate mix, but not uncommon at the time.","Race d'Ep","Race d'Ep",https://www.imdb.com/title/tt0219992/,Movie,6.9,95,1979,"Drama, History",75,1979-10-24,"Lionel Soukaz, Guy Hocquenghem",,
126,tt0079702,2016-10-27,2016-10-27,"fluffy comedy with very serious undertones, this was quite a hit at the time and combines cheap laughs with a plea for social conscience.","La patata bollente","La patata bollente",https://www.imdb.com/title/tt0079702/,Movie,6.3,99,1979,"Comedy",741,1979-11-16,"Steno",,
127,tt0079843,2013-12-17,2013-12-17,"hard to come by Bogdanovich classic features - of all people - one-time Bond George Lazenby in a hustler set-up. Not gay-themed but an intresting period piece for sure.","Saint Jack","Saint Jack",https://www.imdb.com/title/tt0079843/,Movie,7.0,112,1979,"Drama",3161,1979-12-05,"Peter Bogdanovich",,
128,tt0079054,2013-12-17,2014-06-13,"maybe the most sophisticated gay-themed film of the '70s, Brusati's masterpiece is cryptic but elegant.","To Forget Venice","Dimenticare Venezia",https://www.imdb.com/title/tt0079054/,Movie,6.5,110,1979,"Drama",425,1979-04-14,"Franco Brusati",,
129,tt0080051,2016-10-27,2016-10-27,"First European Lesbian-themed film of note, it's unfortunately heavily constructed as it's a literary adaptation, but nevertheless remarkable for focusing on the characters' inner workings instead of their sex.","Twice a Woman","Twee vrouwen",https://www.imdb.com/title/tt0080051/,Movie,5.5,110,1979,"Drama, Romance",510,1980-05,"George Sluizer",,
