"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
10906,"tt1906518","2022-09-24","2022-09-24","","Yes or No","Yes or No: Yaak Rak Gaw Rak Loey","https://www.imdb.com/title/tt1906518/","Movie","6.7","102","2010","Comedy, Romance","2163","2010-12-16","Sarasawadee Wongsompetch",NA,NA
10907,"tt2234222","2022-09-24","2022-09-24","","Orphan Black","Orphan Black","https://www.imdb.com/title/tt2234222/","TV Series","8.3","44","2013","Drama, Sci-Fi, Thriller","120914","2013-03-30","",NA,NA
10908,"tt1409004","2022-09-24","2022-09-24","","Bloomington","Bloomington","https://www.imdb.com/title/tt1409004/","Movie","5.8","83","2010","Drama","6458","2010-06-23","Fernanda Cardoso",NA,NA
10909,"tt9683478","2022-09-24","2022-09-24","","The Half of It","The Half of It","https://www.imdb.com/title/tt9683478/","Movie","6.9","104","2020","Comedy, Drama","45827","2020-05-01","Alice Wu",NA,NA
10910,"tt0810819","2022-09-24","2022-09-24","","The Danish Girl","The Danish Girl","https://www.imdb.com/title/tt0810819/","Movie","7.1","119","2015","Biography, Drama","204073","2016-01-22","Tom Hooper",NA,NA
10911,"tt4016934","2022-09-24","2022-09-24","","The Handmaiden","Ah-ga-ssi","https://www.imdb.com/title/tt4016934/","Movie","8.1","145","2016","Drama, Romance, Thriller","191180","2017-09-02","Park Chan-wook",NA,NA
10912,"tt8613070","2022-09-24","2022-09-24","","Portrait of a Lady on Fire","Portrait de la jeune fille en feu","https://www.imdb.com/title/tt8613070/","Movie","8","122","2019","Drama, Romance","120837","2020-02-14","Céline Sciamma",NA,NA
10913,"tt1859522","2022-09-24","2022-09-24","","Kiss Me","Kyss mig","https://www.imdb.com/title/tt1859522/","Movie","6.8","105","2011","Drama, Romance","12512","2011-07-29","Alexandra-Therese Keining",NA,NA
10914,"tt5073620","2022-09-24","2022-09-24","","Below Her Mouth","Below Her Mouth","https://www.imdb.com/title/tt5073620/","Movie","5.5","94","2016","Drama, Romance","15425","2017-04-28","April Mullen",NA,NA
10915,"tt5978724","2022-09-24","2022-09-24","","My Days of Mercy","My Days of Mercy","https://www.imdb.com/title/tt5978724/","Movie","6.5","108","2017","Drama, Romance","6505","2019-07-05","Tali Shalom-Ezer",NA,NA
10916,"tt2278871","2022-09-24","2022-09-24","","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche",NA,NA
10917,"tt5726616","2022-09-24","2022-09-24","","Call Me by Your Name","Call Me by Your Name","https://www.imdb.com/title/tt5726616/","Movie","7.8","132","2017","Drama, Romance","343356","2018-01-19","Luca Guadagnino",NA,NA
