Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
390,tt0031828,2019-12-05,2020-08-11,"1958 Pacifica Radio interview with Paul Robeson (Courtesy of Pacifica Radio Archives)","The Tunnel","The Proud Valley",https://www.imdb.com/title/tt0031828/,Movie,6.6,76,1940,"Drama, Music",652,1942-08-28,"Pen Tennyson",,
391,tt0035112,2019-12-05,2020-08-11,"The Story of Native Land, a new video interview with cinematographer Tom Hurwitz, son of Frontier Films cofounder and Native Land codirector Leo Hurwitz","Native Land","Native Land",https://www.imdb.com/title/tt0035112/,Movie,6.3,80,1942,"Drama, History",396,1942-05-11,"Leo Hurwitz, Paul Strand",,
392,tt0040522,2019-12-05,2020-08-11,"Working with De Sica, a collection of interviews with screenwriter Suso Cecchi d’Amico, actor Enzo Staiola, and film scholar Callisto Cosulich Life as It Is, a program on the history of Italian neorealism, featuring scholar Mark Shiel Documentary from 2003 on screenwriter and longtime Vittorio De Sica collaborator Cesare Zavattini, directed by Carlo Lizzani","Bicycle Thieves","Ladri di biciclette",https://www.imdb.com/title/tt0040522/,Movie,8.2,89,1948,"Drama",187068,1949-12-13,"Vittorio De Sica",,
393,tt0038577,2019-12-05,2020-08-11,"Audio Commentary by film and music historian Bruce Eder New interview with British film historian Geoff Brown","Green for Danger","Green for Danger",https://www.imdb.com/title/tt0038577/,Movie,7.4,91,1946,"Comedy, Crime, Mystery, Thriller",6022,1946-12-07,"Sidney Gilliat",,
394,tt0033627,2019-12-05,2020-08-11,"Audio Commentary by film and music historian Bruce Eder The Volunteer, a 1943 Powell and Pressburger war-effort short starring Ralph Richardson A Pretty British Affair, a BBC documentary on the careers of Powell and Pressburger, which considers their WWII-era collaborations and features rare footage of the filmmakers together Excerpts from Michael Powell's audio dictations for his autobiography Original theatrical trailer","The Invaders","49th Parallel",https://www.imdb.com/title/tt0033627/,Movie,7.3,123,1941,"Drama, Thriller, War",8245,1942-04-09,"Michael Powell",,
395,tt0054144,2019-12-05,2020-08-11,"Audio Commentary by Japanese-film scholar Donald Ritchie New video interview with Tatsuya Nakadai Theatrical trailer","When a Woman Ascends the Stairs","Onna ga kaidan wo agaru toki",https://www.imdb.com/title/tt0054144/,Movie,8.0,111,1960,"Drama",5161,1963-06-25,"Mikio Naruse",,
396,tt0053121,2019-12-05,2020-08-11,"New video introduction by Japanese-film scholar Donald Richie New video interviews with director Kon Ichikawa and actor Mickey Curtis","Fires on the Plain","Nobi",https://www.imdb.com/title/tt0053121/,Movie,7.9,108,1959,"Drama, War",5611,1959-11-03,"Kon Ichikawa",,
397,tt0049012,2019-12-05,2020-08-11,"New video interviews with director Kon Ichikawa and actor Rentaro Mikuni Original theatrical trailer","The Burmese Harp","Biruma no tategoto",https://www.imdb.com/title/tt0049012/,Movie,8.0,116,1956,"Drama, Music, War",6977,1957-04-26,"Kon Ichikawa",,
398,tt0040636,2019-12-05,2020-08-11,"Audio Commentary by screenwriter Marvin Wald An analysis of the film’s New York locations by Celluloid Skyline author James Sanders A new video interview with NYU film professor Dana Polan Footage of Jules Dassin from his 2004 appearance at the Los Angeles County Museum of Art Stills gallery ","The Naked City","The Naked City",https://www.imdb.com/title/tt0040636/,Movie,7.5,96,1948,"Crime, Drama, Film-Noir, Mystery, Thriller",16447,1948-03-04,"Jules Dassin",,
399,tt0113247,2019-12-05,2020-08-11,"Audio Commentary by Mathieu Kassovitz Introduction by actor Jodie Foster Ten Years of “La haine,” a documentary that brings together cast and crew a decade after the film’s landmark release Featurette on the film’s banlieue setting Production footage Deleted and extended scenes, each with an afterword by Kassovitz Gallery of behind-the-scenes photos Trailers","La haine","La haine",https://www.imdb.com/title/tt0113247/,Movie,8.1,98,1995,"Crime, Drama",214650,1996-02-23,"Mathieu Kassovitz",,
400,tt0073502,2019-12-05,2020-08-11,"Audio Commentary by Stuart Cooper and actor Brian Stirner Mining the Archive, a 2007 piece featuring archivists from London’s Imperial War Museum detailing the footage used in the film Capa Influences Cooper, a 2007 photo essay featuring Cooper on photographer Robert Capa Cameramen at War, the British Ministry of Information’s 1943 film tribute to newsreel and service film unit cameramen A Test of Violence, Cooper’s 1969 short film about the Spanish artist Juan Genovés Germany Calling, a 1941 Ministry of Information propaganda film, clips of which appear in Overlord Excerpts from the journals of two D-day soldiers, read by Stirner Trailer ","Overlord","Overlord",https://www.imdb.com/title/tt0073502/,Movie,7.1,83,1975,"Drama, History, War",3617,1977-02-11,"Stuart Cooper",,
401,tt0039224,2019-12-05,2020-08-11,"Audio Commentary by film noir specialists Alain Silver and James Ursini A new interview with Paul Mason, author of Capturing the Media: Prison Discourse in Popular Culture Theatrical trailer Stills gallery","Brute Force","Brute Force",https://www.imdb.com/title/tt0039224/,Movie,7.5,98,1947,"Crime, Drama, Film-Noir, Thriller",12322,1947-08,"Jules Dassin",,
402,tt0079182,2019-12-05,2020-08-11,"Audio commentary from 2005 featuring critic Tony Rayns Excerpts from a 1999 interview with director Shohei Imamura, produced by the Directors Guild of Japan Trailer and teaser","Vengeance Is Mine","Fukushû suru wa ware ni ari",https://www.imdb.com/title/tt0079182/,Movie,7.7,139,1979,"Crime, Drama",7724,1979-10-17,"Shôhei Imamura",,
403,tt0064040,2019-12-05,2020-08-11,"Audio Commentary by film historian Ginette Vincendeau Interviews with Lhomme and editor Françoise Bonnot On-set footage and excerpts from archival interviews with director Jean-Pierre Melville, cast members, writer Joseph Kessel, and real-life Resistance fighters Jean-Pierre Melville et “L’armée des ombres” (2002), a short program on the director and his film Le journal de la Résistance (1944), a rare short documentary shot on the front lines during the final days of German-occupied France Film restoration demonstration by Lhomme Theatrical trailers","Army of Shadows","L'armée des ombres",https://www.imdb.com/title/tt0064040/,Movie,8.1,145,1969,"Drama, War",27994,1970-06-19,"Jean-Pierre Melville",,
404,tt0047445,2019-12-05,2020-08-11,"Audio Commentary by Japanese-literature scholar Jeffrey Angles Interviews with critic Tadao Sato, assistant director Tokuzo Tanaka, and actress Kyoko Kagawa on the making of the film and its lasting importance Two versions of the story on which the film is based: Ogai Mori’s 1915 “Sansho the Steward” and an earlier oral variation in written form","Sansho the Bailiff","Sanshô dayû",https://www.imdb.com/title/tt0047445/,Movie,8.3,124,1954,"Drama",19250,1955,"Kenji Mizoguchi",,
405,tt0056119,2019-12-05,2020-08-11,"Two interviews with filmmaker Jean-Pierre Gorin Chris on Chris, a video piece on Marker by filmmaker and critic Chris Darke Two excerpts from the French television series Court-circuit (le magazine): a look at David Bowie’s music video for the song “Jump They Say,” inspired by La Jetée, and an analysis of Hitchcock’s Vertigo and its influence on Marker Junkopia, a six-minute film by Marker, Frank Simone, and John Chapman about the Emeryville Mudflats","La Jetée","La Jetée",https://www.imdb.com/title/tt0056119/,Short,8.2,28,1962,"Short, Drama, Romance, Sci-Fi",38892,1962-02-16,"Chris Marker",,
406,tt0084628,2019-12-05,2020-08-11,"Two interviews with filmmaker Jean-Pierre Gorin Chris on Chris, a video piece on Marker by filmmaker and critic Chris Darke Two excerpts from the French television series Court-circuit (le magazine): a look at David Bowie’s music video for the song “Jump They Say,” inspired by La Jetée, and an analysis of Hitchcock’s Vertigo and its influence on Marker Junkopia, a six-minute film by Marker, Frank Simone, and John Chapman about the Emeryville Mudflats","Sans Soleil","Sans soleil",https://www.imdb.com/title/tt0084628/,Movie,7.7,100,1983,"Documentary, Drama",12731,1983-03-02,"Chris Marker",,
407,tt0063771,2019-12-05,2020-08-11,"Le poulet (1962), director Claude Berri’s Oscar-winning short film New video interviews with Berri and actor Alain Cohen Interviews from 1967 with Berri and Michel Simon An excerpt from “The Jewish Children of Occupied France,” a 1975 French talk-show segment featuring Berri and the woman who helped secure his family’s safety during World War II Original theatrical trailer","The Two of Us","Le vieil homme et l'enfant",https://www.imdb.com/title/tt0063771/,Movie,7.6,86,1967,"Comedy, Drama",2641,1968-02-19,"Claude Berri",,
408,tt0067958,2019-12-05,2020-08-11,"Audio Commentary assembled from Raymond Durgnat's 1999 book on the film Hole in the Soul, Makavejev’s 1994 tragicomic autobiographical short film, originally made for the BBC New and archival video interviews with Makavejev","WR: Mysteries of the Organism","W.R. - Misterije organizma",https://www.imdb.com/title/tt0067958/,Movie,6.6,84,1971,"Comedy, Drama, Fantasy",5670,1971-05-10,"Dusan Makavejev",,
409,tt0072235,2019-12-05,2020-08-11,"New video interviews with Makavejev and Balkan film scholar Dina Iordanova Actress Anna Prucnal sings a song from the film","Sweet Movie","Sweet Movie",https://www.imdb.com/title/tt0072235/,Movie,5.9,98,1974,"Comedy, Drama, Mystery",6793,1974-06-12,"Dusan Makavejev",,
410,tt0063850,2019-12-05,2020-08-11,"Audio Commentary by film critic and historian David Robinson and actor Malcolm McDowell Episode of the Scottish TV series Cast and Crew from 2003, featuring interviews with McDowell, Ondříček, Rakoff, director’s assistant Stephen Frears, producer Michael Medwin, and screenwriter David Sherwin Video interview with actor Graham Crowden Thursday’s Children (1954), an Academy Award–winning documentary about a school for deaf children, by director Lindsay Anderson and Guy Brenton and narrated by actor Richard Burton ","If....","If....",https://www.imdb.com/title/tt0063850/,Movie,7.4,111,1968,"Crime, Drama",26004,1969-05-21,"Lindsay Anderson",,
411,tt0203612,2019-12-05,2020-08-11,"Video essay on the film by critic and festival programmer James Quandt Theatrical trailer ","Pitfall","Otoshiana",https://www.imdb.com/title/tt0203612/,Movie,7.5,97,1962,"Crime, Drama, Fantasy",4480,1962-07-01,"Hiroshi Teshigahara",,
412,tt0058625,2019-12-05,2020-08-11,"Video essay on the film from 2007 by film scholar James Quandt Four short films from director Hiroshi Teshigahara’s early career: Hokusai (1953), Ikebana (1956), Tokyo 1958 (1958), and Ako (1965) Teshigahara and Abe, a 2007 documentary examining the collaboration between Teshigahara and novelist Kobo Abe, featuring interviews with film scholars Donald Richie and Tadao Sato, film programmer Richard Peña, set designer Arata Isozaki, producer Noriko Nomura, and screenwriter John Nathan Trailer","Woman in the Dunes","Suna no onna",https://www.imdb.com/title/tt0058625/,Movie,8.4,147,1964,"Drama, Thriller",24458,1964-10-25,"Hiroshi Teshigahara",,
413,tt0061065,2019-12-05,2020-08-11,"Video essay on the film by critic and festival programmer James Quandt Theatrical trailer","The Face of Another","Tanin no kao",https://www.imdb.com/title/tt0061065/,Movie,7.8,124,1966,"Drama, Sci-Fi, Thriller",11371,1967-06-09,"Hiroshi Teshigahara",,
414,tt0043338,2019-12-05,2020-08-11,"Audio Commentary by film scholar Neil Sinyard Portrait of a “60% Perfect Man”: Billy Wilder, a 1980 documentary featuring interviews with Wilder by film critic Michel Ciment Interview with actor Kirk Douglas from 1984 Excerpts from a 1986 appearance by Wilder at the American Film Institute Audio excerpts from an interview with Wilder’s coscreenwriter Walter Newman Video afterword by filmmaker Spike Lee Stills gallery Trailer ","Ace in the Hole","Ace in the Hole",https://www.imdb.com/title/tt0043338/,Movie,8.1,111,1951,"Drama, Film-Noir",41094,1951-07-04,"Billy Wilder",,
